prefCode,prefJP,prefEN,date,tests,newCases,activeCases,severeCases,recovered,deaths,rt
01,北海道,Hokkaido,2020-01-26,NA,0,NA,NA,NA,NA,NA
01,北海道,Hokkaido,2020-01-27,NA,0,NA,NA,NA,NA,NA
01,北海道,Hokkaido,2020-01-28,NA,1,NA,NA,NA,NA,NA
01,北海道,Hokkaido,2020-01-29,NA,1,NA,NA,NA,NA,NA
01,北海道,Hokkaido,2020-01-30,NA,1,NA,NA,NA,NA,NA
01,北海道,Hokkaido,2020-01-31,NA,1,NA,NA,NA,NA,NA
01,北海道,Hokkaido,2020-02-01,NA,1,NA,NA,NA,NA,NA
01,北海道,Hokkaido,2020-02-02,NA,1,NA,NA,NA,NA,NA
01,北海道,Hokkaido,2020-02-03,NA,1,NA,NA,NA,NA,NA
01,北海道,Hokkaido,2020-02-04,NA,1,NA,NA,NA,NA,NA
01,北海道,Hokkaido,2020-02-05,NA,1,NA,NA,NA,NA,NA
01,北海道,Hokkaido,2020-02-06,NA,1,NA,NA,NA,NA,NA
01,北海道,Hokkaido,2020-02-07,NA,1,NA,NA,NA,NA,NA
01,北海道,Hokkaido,2020-02-08,NA,1,NA,NA,NA,NA,NA
01,北海道,Hokkaido,2020-02-09,NA,1,NA,NA,NA,NA,NA
01,北海道,Hokkaido,2020-02-10,NA,1,NA,NA,NA,NA,NA
01,北海道,Hokkaido,2020-02-11,NA,1,NA,NA,NA,NA,NA
01,北海道,Hokkaido,2020-02-12,NA,1,NA,NA,NA,NA,NA
01,北海道,Hokkaido,2020-02-13,NA,1,NA,NA,NA,NA,NA
01,北海道,Hokkaido,2020-02-14,NA,2,NA,NA,1,NA,NA
01,北海道,Hokkaido,2020-02-15,NA,2,NA,NA,1,NA,NA
01,北海道,Hokkaido,2020-02-16,NA,2,NA,NA,1,NA,NA
01,北海道,Hokkaido,2020-02-17,NA,2,NA,NA,1,NA,NA
01,北海道,Hokkaido,2020-02-18,NA,2,NA,NA,1,NA,NA
01,北海道,Hokkaido,2020-02-19,NA,4,NA,NA,1,NA,NA
01,北海道,Hokkaido,2020-02-20,NA,5,NA,NA,1,NA,NA
01,北海道,Hokkaido,2020-02-21,NA,8,NA,NA,1,NA,NA
01,北海道,Hokkaido,2020-02-22,NA,17,NA,NA,1,NA,NA
01,北海道,Hokkaido,2020-02-23,NA,26,NA,NA,1,NA,NA
01,北海道,Hokkaido,2020-02-24,NA,30,NA,NA,1,NA,NA
01,北海道,Hokkaido,2020-02-25,NA,35,NA,NA,1,1,NA
01,北海道,Hokkaido,2020-02-26,NA,39,NA,NA,1,1,NA
01,北海道,Hokkaido,2020-02-27,NA,54,NA,NA,1,2,NA
01,北海道,Hokkaido,2020-02-28,NA,66,NA,NA,2,2,NA
01,北海道,Hokkaido,2020-02-29,NA,70,NA,NA,3,3,NA
01,北海道,Hokkaido,2020-03-01,NA,72,NA,NA,8,3,NA
01,北海道,Hokkaido,2020-03-02,NA,77,NA,NA,12,3,NA
01,北海道,Hokkaido,2020-03-03,604,79,NA,NA,21,3,NA
01,北海道,Hokkaido,2020-03-04,714,82,NA,NA,22,3,NA
01,北海道,Hokkaido,2020-03-05,791,83,NA,NA,26,3,NA
01,北海道,Hokkaido,2020-03-06,892,90,NA,NA,32,3,NA
01,北海道,Hokkaido,2020-03-07,978,98,NA,6,34,3,NA
01,北海道,Hokkaido,2020-03-08,1033,101,NA,7,41,3,NA
01,北海道,Hokkaido,2020-03-09,1069,108,NA,6,43,3,NA
01,北海道,Hokkaido,2020-03-10,1094,111,NA,7,49,3,NA
01,北海道,Hokkaido,2020-03-11,1174,118,NA,7,53,3,NA
01,北海道,Hokkaido,2020-03-12,1250,128,NA,6,53,4,NA
01,北海道,Hokkaido,2020-03-13,1323,137,NA,6,55,4,NA
01,北海道,Hokkaido,2020-03-14,1410,144,NA,8,58,4,NA
01,北海道,Hokkaido,2020-03-15,1462,148,NA,9,61,5,NA
01,北海道,Hokkaido,2020-03-16,1490,152,NA,6,66,6,NA
01,北海道,Hokkaido,2020-03-17,1515,152,NA,6,72,6,NA
01,北海道,Hokkaido,2020-03-18,1587,154,77,6,73,6,NA
01,北海道,Hokkaido,2020-03-19,1652,157,80,6,81,6,NA
01,北海道,Hokkaido,2020-03-20,1707,158,82,8,84,6,NA
01,北海道,Hokkaido,2020-03-21,1755,159,71,8,87,6,NA
01,北海道,Hokkaido,2020-03-22,1775,162,72,7,96,6,NA
01,北海道,Hokkaido,2020-03-23,1794,162,65,7,97,6,NA
01,北海道,Hokkaido,2020-03-24,1821,163,63,6,100,6,NA
01,北海道,Hokkaido,2020-03-25,1888,167,61,7,105,7,NA
01,北海道,Hokkaido,2020-03-26,1929,168,62,7,121,7,0.5
01,北海道,Hokkaido,2020-03-27,1976,169,47,7,123,7,0.63
01,北海道,Hokkaido,2020-03-28,2014,172,44,7,124,7,0.9
01,北海道,Hokkaido,2020-03-29,2064,176,48,9,125,7,1
01,北海道,Hokkaido,2020-03-30,2076,177,49,6,131,7,1.34
01,北海道,Hokkaido,2020-03-31,2096,177,46,6,132,7,1.19
01,北海道,Hokkaido,2020-04-01,2164,182,44,6,133,7,1.11
01,北海道,Hokkaido,2020-04-02,2217,185,46,5,135,8,1.36
01,北海道,Hokkaido,2020-04-03,2296,190,52,5,139,8,1.59
01,北海道,Hokkaido,2020-04-04,2363,193,55,6,142,8,1.41
01,北海道,Hokkaido,2020-04-05,2429,194,56,6,142,8,1.2
