url,fileName,updateDate,prefectureNameJP,testedPositive,hospitalized,bedCurrentPhase,bedFinalPhase,bedCapacity,bedUtilizationRate,plannedBedCapacity,severeCase,severeCaseBedCurrentPhase,severeCaseBedFinalPhase,severeCaseBedCapacity,severeCaseBedUtilizationRate,plannedSevereCaseBedCapacity,accomondated,accomondationCurrentPhase,accomondationFinalPhase,accomondationRoomCapacity,accomondationRoomUtilizationRate,plannedaccomondationRoomCapacity,atHome,atWelfareFacility,unconfirmed
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,北海道,127,93,1,3,1767,0.05,1767,2,1,3,182,0.01,182,28,1,2,1170,0.02,1170,6,0,0
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,青森県,2,2,1,4,161,0.01,225,0,1,4,29,0,30,0,1,4,30,0,100,0,0,0
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,岩手県,12,12,1,3,374,0.03,350,0,1,3,59,0,45,0,1,3,225,0,300,0,0,0
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,宮城県,18,9,2,4,345,0.03,450,0,2,4,43,0,65,9,2,4,160,0.06,300,0,0,0
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,秋田県,4,4,2,4,222,0.02,235,0,2,4,21,0,27,0,2,4,16,0,69,0,0,0
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,山形県,2,2,2,4,215,0.01,215,1,2,4,25,0.04,26,0,2,4,188,0,188,0,0,0
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,福島県,58,58,2,4,469,0.12,350,1,2,4,42,0.02,50,0,2,4,100,0,160,0,0,0
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,茨城県,56,38,1,3,546,0.07,500,2,1,3,72,0.03,70,13,2,4,324,0.04,324,5,0,0
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,栃木県,21,21,2,4,311,0.07,311,3,2,4,41,0.07,41,0,2,4,111,0,250,0,0,0
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,群馬県,78,70,2,3,302,0.23,330,0,2,3,23,0,50,8,2,3,363,0.02,1300,0,0,0
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,埼玉県,537,303,3,4,1078,0.28,1400,11,2,4,121,0.09,200,94,1,3,1225,0.08,1450,94,0,46
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,千葉県,370,242,3,4,1147,0.21,1200,9,3,4,101,0.09,180,58,3,4,710,0.08,1400,50,0,20
